,code,name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
903,26033,Family Access Medical Centre,Family Access Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,Yes,Yes,Yes,Yes,Yes,No
904,26112,Pascal Kip Health Diagnostics,Pascal Kip Health Diagnostics,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,No,Yes,Yes,Yes,Yes,Yes,No
931,26042,Figo Care Plus(K)Limited,Figo Care Plus(K)Limited,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
932,26141,Astradental Services,Astradental Services,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
938,26013,CKS Dialysis Centre Pangani,CKS Dialysis Centre Pangani,Level 2,Dialysis Center,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Pangani,Operational,No,No,No,No,Yes,Yes,No
940,26016,Ropas Medical Clinic,Ropas Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,3,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
945,26014,Dental Care Limited CBD,Dental Care Limited CBD,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
946,26015,Smartsmile Dental Care Clinic,Smartsmile Dental Care Clinic,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
948,26043,Penda Medical Centre Umoja 1,Penda Medical Centre Umoja 1,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
959,25942,Eye & U Opthalmic ltd,Eye & U Opthalmic ltd,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kileleshwa,Operational,No,No,No,No,Yes,Yes,No
962,25943,Nairobi Radiotherapy & Cancer Centre,Nairobi Radiotherapy & Cancer Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
963,25940,Bloom Dhahabu Ltd,Bloom Dhahabu Cancer Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
969,25937,AAR Lavington OPC,AAR Lavington OPC,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kileleshwa,Operational,No,Yes,Yes,No,Yes,Yes,No
970,None,Eye &U Opthalmic LTD,Eye &U Opthalmic LTD,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,None,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
971,25941,Garden Specialist Hospital,Garden Specialist Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,20,4,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
982,26011,Equity Afia Medical Centre- Kahawa West,Equity Afia Medical Centre- Kahawa West,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,Yes,Yes,No,Yes,Yes,No
993,25974,Gastro &Liver Centre,Gastro &Liver Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
1001,26017,Oasis Health Care Group Limited Makadara,Oasis Health Care Group Limited Makadara,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,No,No,Yes,Yes,No
1014,26012,Equity Afia Biashara Street,Equity Afia Biashara Street,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
1019,25777,Anka Hospital,Anka Hospital,Level 3,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,12,2,Nairobi,Kamukunji,Kamukunji,California,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1038,27608,Lespoir Medical Centre,Lespoir Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,3,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1067,26019,Sheba Medical Centre LTD,Sheba Medical Centre LTD,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,4,1,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1070,25722,Penda Medical Center - Mathare North,Penda Medical Center - Mathare North,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,No,Yes,Yes,No,Yes,Yes,No
1074,25944,Loco Medical Centre & Maternity Home,Loco Medical Centre & Maternity Home,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,4,1,Nairobi,Dagoretti North,Dagoretti North,Kawangware,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1090,26018,Maji Mazuri Dispensary (Clay City),Maji Mazuri Dispensary (Clay City),Level 2,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Kasarani,Kasarani,Clay City,Operational,No,No,No,No,Yes,Yes,No
1100,25721,Penda Medical Centre - Lucky Summer,Penda Medical Centre - Lucky Summer,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Ministry of Health,0,0,Nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1103,25723,Mimosa Cottage Hospital,Mimosa Cottage Hospital,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,14,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1112,25725,Hakika Medical clinic,Hakika Medical clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,Yes,Yes,No,Yes,Yes,No
1114,25688,Edris Premier Hospital Limited,Edris Premier Hospital Limited,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,25,0,Nairobi,Kamukunji,Kamukunji,Airbase,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1131,25632,Royal Victory Hospital,Royal Victory Hospital,Level 3,Specialized & Tertiary Referral hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Ministry of Health,15,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1155,25636,Beta Care Setlite clinic,Beta Care Setlite clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Ngara,Operational,No,No,No,No,Yes,Yes,No
1161,25644,Health Gate Hospital,Health Gate Hospital,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,None,70,1,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1165,25639,States View Medical Cetre,States View Medical Cetre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Clinical Officers Council,4,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1166,25650,Access Afya Baba dogo,Access Afya Baba dogo,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,2,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,No,No,No,Yes,Yes,Yes,No
1171,25652,Waikiki Health Services,Waikiki Health Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,3,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1185,25656,Bliss Medical Center(Umoja 2),Bliss Medical Center(Umoja 2),Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,No,No,No,No,Yes,Yes,No
1186,25657,Thawabu Medical Clinic,Thawabu Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole South,Operational,No,No,No,No,Yes,Yes,No
1187,25658,Equata Medical Center,Equata Medical Center,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole South,Operational,No,No,No,No,Yes,Yes,No
1225,25574,"The Nairobi Hospital, Outpatient Centre Galleria","The Nairobi Hospital, Outpatient Centre Galleria",Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Karen,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1226,25583,Penda Medical Center Kangemi,Penda Medical Center Kangemi,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Kangemi,Operational,No,Yes,Yes,No,Yes,Yes,No
1234,25576,Mediant Diagnostics Medical Clinic,Mediant Diagnostics Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,1,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1236,25575,LVCT Korogocho,LVCT Korogocho,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Ministry of Health,0,0,Nairobi,Ruaraka,Ruaraka,Korogocho,Operational,No,No,Yes,No,Yes,Yes,No
1249,25571,Mediverse Community Hospital,Mediverse Community Hospital,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Mihango,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1252,25568,Helpers Health Services,Helpers Health Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,2,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,Yes,No,Yes,Yes,No
1254,25567,Optica Limited,Optica Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,No,Yes,Yes,No
1258,25588,Mirmed Health Care,Mirmed Health Care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,2,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
1278,25463,Shree Swaminarayan Hospital(Langata),Shree Swaminarayan Hospital,Level 3,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,None,20,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,No,No,Yes,Yes,No
1290,25450,Beirut pharmacy and medical centre,Beirut pharmacy and medical centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice- Pharmacist,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Airbase,Operational,Yes,No,No,No,Yes,Yes,No
1301,25426,Shepherds Hospital,Shepherds Hospital,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,5,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1304,25433,Equity Afia Utawala Medical Centre,Equity Afia Utawala Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,7,1,Nairobi,Embakasi East,Embakasi East,Mihango,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1330,25471,Arawelo Medical Centre Limited (South C),Arawelo Medical Centre Limited,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,15,0,Nairobi,Langata,Langata,South C,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1333,25342,Sahara Medinfo Center,Sahara Medinfo Center,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Pharmacy & Poisons Board,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
1351,25343,Havans medical center,Havans Medical Center,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,3,0,Nairobi,Embakasi East,Embakasi East,Upper Savannah,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1352,25344,Penda health limited tassia,Penda health limited tassia,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,7,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,Yes,Yes,No,Yes,Yes,No
1354,25345,Rubus Pharma LTD Health Centre,Rubus Pharma LTD Health Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Dagoretti North,Dagoretti North,Kawangware,Operational,No,Yes,Yes,No,Yes,Yes,No
1355,25444,Alter Care Limited,Alter Care Limited,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,No,Yes,Yes,No,Yes,Yes,No
1364,25347,Health Basics International (Ruaraka),Health Basics International (Ruaraka),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,Yes,Yes,No,Yes,Yes,No
1367,25458,The St. Mary Intergrated Medical Centre,The St. Mary Intergrated Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,2,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1368,25366,Gateway Health Care Thome,Gateway Health Care Thome,Level 3,Medical Center,MEDICAL CENTER,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,3,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,Yes,Yes,Yes,Yes,No
1374,25451,Brightside D.A.R.T Centre,Brightside Drug Addiction Rehabilitation Treatment Centre,Level 3,Nursing Homes,NURSING HOME,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,20,0,Nairobi,Westlands,Westlands,Kitisuru,Operational,No,No,No,No,Yes,Yes,No
1378,25246,Reliance Hospital Limited,Reliance Hospital Limited,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,50,10,Nairobi,Langata,Langata,South C,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1388,25582,The Nairobi Hospital (Capital Centre),The Nairobi Hospital (Capital Centre),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi South,Operational,No,No,No,No,Yes,Yes,No
1417,25207,Lifeway House,Lifeway House,Level 2,Rehab. Center - Drug and Substance abuse,STAND ALONE,Private Practice - Medical Specialist,Private Practice,Other,15,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
1418,25205,Aga Khan Roysambu Medical and Dialysis Centre,Aga Khan Roysambu Medical and Dialysis Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,15,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1422,25206,BHSC,Berton Health Specialists Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,5,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
1452,25153,Best Health Care Community Services,Best Health Care Community Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kasarani,Kasarani,Ruai,Operational,No,No,Yes,No,Yes,Yes,No
1453,25152,Cascade of Hope Health Care,Cascade of Hope Health Care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,4,0,Nairobi,Kasarani,Kasarani,Ruai,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1492,25077,Nafuu Medical Clinic,Nafuu Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Mountain View,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1522,25044,The Aga Khan University Hospital Town Clinic,The Aga Khan University Hospital Town Clinic,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,Yes,Yes,Yes,No
1548,25008,The Karen Hospital City Centre Clinic,The Karen Hospital City Centre Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,No,Yes,Yes,No
1560,24992,Pema Community Diagnostic and Medical Centre,Pema Community Diagnostic and Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Utawala,Operational,No,Yes,Yes,Yes,Yes,Yes,No
1561,24991,Olivelink Healthcare Limited,Olivelink Healthcare Limited,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,14,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1574,24979,Kenyatta University Teaching Refferal and Research Hospital,Kenyatta University Teaching Refferal and Research Hospital,Level 6,Comprehensive Teaching & Tertiary Referral Hospital,HOSPITALS,Public Institution - Parastatal,Ministry of Health,Ministry of Health,600,30,Nairobi,Roysambu,Roysambu,Kahawa,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1618,24966,Eastend Doctors,Eastend Doctors,Level 3,Medical Center,MEDICAL CENTER,Private Practice- Pharmacist,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,Yes,No,Yes,Yes,No
1622,24923,Kidney Aid Dialisis Center Limited,Kidney Aid Dialisis Center Limited,Level 2,Dialysis Center,STAND ALONE,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,Yes,Yes,No,Yes,Yes,No
1623,24924,Mukuru Sunrise Medclinic,Mukuru Sunrise Medclinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,No,Yes,Yes,No,Yes,Yes,No
1631,24918,The Nairobi Hospital Rosslyn Riviera Out Patient Centre,The Nairobi Hospital Rosslyn Riviera Out Patient Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,Yes,Yes,No,Yes,Yes,No
1633,24914,K.P.A ICD Clinic Nairobi,K.P.A ICD Clinic Nairobi,Level 3,Basic Health Centre,HEALTH CENTRE,Public Institution - Parastatal,Ministry of Health,Kenya MPDB,7,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
